연번,보고서명,유적사업명,발간기관,제출일,조사시도,조사시군구,주소,조사면적,조사기간,유적성격,시대
1,전주 인봉지 시굴조사 보고서,전주 후백제 궁성벽 추정지,국립전주박물관,2017-01-03,전북,전주시, ,,,,
2,왕궁리발굴중간보고 Ⅹ,익산 왕궁리유적(9차),국립부여문화재연구소,2017-01-04,전북,익산시, ,,,,
3,왕궁리발굴중간보고 Ⅹ,익산 왕궁리유적(제25차),국립부여문화재연구소,2017-01-04,전북,익산시, ,,,,
4,충주 영평리 · 화곡리 유적,충주 메가폴리스 조성사업부지 내 유적,(재)충청북도문화재연구원,2017-01-04,충북,충주시, ,,,,
5,왕궁리발굴중간보고 Ⅹ,익산 왕궁리 유적(10차),국립부여문화재연구소,2017-01-04,전북,익산시, ,,,,
6,천안 정촌리유적,천안 GM 자동차 부품배송센터 신축사업부지 내,(재)가경고고학연구소,2017-01-04,충남,천안시, ,,,,
7,2014년도 소규모 발굴조사 보고서 Ⅴ,동해 망상동 44-8번지 단독주택신축부지 내 유적,(재)예맥문화재연구원,2017-01-04,강원,동해시, ,,,,
8,2014년도 소규모 발굴조사 보고서 I~XXI,부여 동남리(269-7) 주택신축부지내 유적,(재)한얼문화유산연구원,2017-01-05,충남,부여군, ,,,,
9,"대구 유천동 19-2번지 일원 학교건립예정부지.대구 달서구 유천동 47번지 일원 아파트 및 도로개설부지 내 ""대구 유천동 19-2.47번지 유적""",대구 유천동 19-2번지 일원 학교건립 예정부지 내 유적,(재)삼한문화재연구원,2017-01-05,대구,달서구, ,,,,
10,서울 익선동 99번지 유적,서울 종로1?2?3?4가동 청사 신축부지 내 유적,(재)한울문화재연구원,2017-01-05,서울,종로구, ,,,,
11,공주 학봉리 669-11번지 유적,공주 학봉리 669-11번지 단독주택 조성부지 내 유적 국비지원 발굴(시굴)조사,(재)동방문화재연구원,2017-01-05,충남,공주시, ,,,,
12,"대구 유천동 19-2번지 일원 학교건립 예정부지.대구 달서구 유천동 47번지 일원 아파트 및 도로개설부지 내 ""大邱 流川洞 19-2.47番地 遺蹟""",대구 달서구 유천동 47번지일원 아파트 및 도로개설부지 내 유적,(재)삼한문화재연구원,2017-01-05,대구,달서구, ,,,,
13,2014년도 소규모 발굴조사 보고서 Ⅰ~ⅩⅩⅠ,서울 종로 연지동 98-1번지 일원 근생 및 숙박시설 부지 내 유적(국비지원),(재)겨레문화유산연구원,2017-01-06,서울,종로구, ,,,,
14,2014년도 소규모 발굴조사 보고서 Ⅰ~ⅩⅩⅠ,서울 종로구 돈의동 119번지 일원 신축부지 내 유적(국비지원),(재)겨레문화유산연구원,2017-01-06,서울,종로구, ,,,,
15,부여 규암면 반산리 71번지 백제유적,부여 규암 반산리 71번지 일원 공동주택 조성사업부지 내 유적,(재)백제역사문화연구원,2017-01-06,충남,부여군, ,,,,
16,2014년 소규모 발굴조사 보고서 Ⅵ-강원2-,춘천 금산리 993번지 단독주택신축부지 내 유적,(재)강원고고문화연구원,2017-01-06,강원,춘천시, ,,,,
17,구미 도중리 유적,구미 도중리 하이테크밸리(1단계) 조성공사 부지내 유적,(재)고려문화재연구원,2017-01-09,경북,구미시, ,,,,
18,和順 孝山里·大新里 支石墓群(5차),화순 효산 지석묘 정비사업부지내 유적,(재)동북아지석묘연구소,2017-01-09,전남,화순군, ,,,,
19,2014년도 소규모 발굴조사 보고서-부여 동남리 672-11번지 유적,부여 동남리 672-11번지 일원 근린생활시설 신축부지내 유적,(재)가경고고학연구소,2017-01-10,충남,부여군, ,,,,
20,2014년도 소규모 발굴조사 보고서-공주 청룡리 394번지 유적,공주 의당면 청룡리 394번지 단독주택 신축부지 내 유적,(재)가경고고학연구소,2017-01-10,충남,공주시, ,,,,
21,경주 동천동 357번지 유적,경주 동천동 357번지 단독주택 신축부지 내 유적 국비지원발굴,(재)동국문화재연구원,2017-01-11,경북,경주시, ,,,,
22,경주 황남동 98-2번지 유적,경주 황남동 98-2번지 국비지원발굴 유적,(재)동국문화재연구원,2017-01-11,경북,경주시, ,,,,
23,2014년도 소규모 발굴조사 보고서 ⅩⅣ -경북 2-,경주 외동읍 말방리 산26-2번지 단독주택 신축부지내 유적 국비지원 시굴조사,(재)대동문화재연구원,2017-01-12,경북,경주시, ,,,,
24,2014년도 소규모 발굴조사 보고서 ⅩⅦ -경북 5-,상주 복룡동 293-13번지 단독주택 신축공사부지내 유적 국비지원 발굴,(재)세종문화재연구원,2017-01-12,경북,상주시, ,,,,
25,2014년도 소규모 발굴조사 보고서ⅩⅦ -경북 5-,상주 복룡동 283-93번지 근린생활시설 신축공사부지내 유적 국비지원 발굴,(재)세종문화재연구원,2017-01-12,경북,상주시, ,,,,
26,2014년도 소규모 발굴조사 보고서 ⅩⅦ -경북 5-,"상주 복룡동 283-79, 283-81번지 근린생활시설 신축공사부지내 유적 국비지원 발굴",(재)세종문화재연구원,2017-01-12,경북,상주시, ,,,,
27,2014년도 소규모 발굴조사 보고서 Ⅰ∼ⅩⅩⅠ,울주 화산리 996-8번지 단독주택 신축부지내 유적(국비),(재)울산연구원,2017-01-12,울산,울주군, ,,,,
28,남원 만복사지,남원 만복사지 발굴조사,(재)경남연구원 역사문화센터,2017-01-12,전북,남원시, ,,,,
29,공주 학봉리 669-3번지 유적,공주 학봉리 669-3번지 단독주택 조성부지 내 유적,(재)동방문화재연구원,2017-01-12,충남,공주시, ,,,,
30,2014년도 소규모 발굴조사 보고서 ⅩⅦ -경북 5-,성주 수죽리 712번지 단독주택 신축부지 내 유적,(재)대동문화재연구원,2017-01-12,경북,성주군, ,,,,
31,상주 상판리 자기가마1 유적,상주 상판리 자기요지Ⅰ 학술발굴조사,상주박물관,2017-01-12,경북,상주시, ,,,,
32,증평2일반산업단지 조성사업부지내 증평 노암리유적,증평2일반산업단지 조성사업,(재)중앙문화재연구원,2017-01-13,충북,증평군, ,,,,
33,2014년도 소규모 발굴조사 보고서 Ⅴ,용인 마북동 425-14번지 단독주택부지 내 유적,(재)한국문화유산연구원,2017-01-13,경기,용인시, ,,,,
34,진주 초장 1지구 도시개발사업구역내 유적,진주 초장 1지구 도시개발사업구역내 유적,(재)동서문물연구원,2017-01-16,경남,진주시, ,,,,
35,춘천 우두동유적,춘천 우두택지개발사업지구내 유적,(재)한강문화재연구원,2017-01-16,강원,춘천시,강원도 춘천시 우두동 910-10,162216,2013년02월04일~2015년01월20일,,
36,蔚山渭陽里417-1遺蹟,울주 장안-온산1 국도건설공사 구간 내 유적,(재)울산문화재연구원,2017-01-16,울산,울주군, ,,,,
37,국가사적 제412호 제주 고산리 유적 문화재 발굴조사 보고서-제주 고산리 유적Ⅲ-,2014 제주 고산리 유적,(재)제주문화유산연구원,2017-01-16,제주,제주시, ,,,,
38,대구 대봉동 20-37번지 유적,대구광역시 중구 대봉동 20-37번지 근린생활시설 신축사업부지 내 유적,(재)한국문화재연구원,2017-01-16,대구,중구, ,,,,
39,울산신화리412-2유적,울산 울주 삼남면 신화리 412-5번지 일원 주택신축부지 내 유적,(재)울산문화재연구원,2017-01-16,울산,울주군, ,,,,
40,"경주 천촌리 23-2, 24-1번지 유적","경주 천촌리 23-2, 24-1번지 작물(버섯)재배사 신축부지 내 유적",(재)성림문화재연구원,2017-01-17,경북,경주시, ,,,,
41,왕흥사지VII,부여 왕흥사지(제14차),국립부여문화재연구소,2017-01-18,충남,부여군, ,,,,
42,경주서악동 591-2번지 유적,경주 서악동 591-2번지 단독주택 신축부지 내 유적(국비),(재)삼한문화재연구원,2017-01-18,경북,경주시, ,,,,
43,대구대봉동 739-20번지 유적,대구 대봉동 739-20번지 단독주택 신축부지 내 유적,(재)삼한문화재연구원,2017-01-18,대구,중구, ,,,,
44,부여 왕흥사지VII,부여 왕흥사지(15차) 발굴조사,국립부여문화재연구소,2017-01-18,충남,부여군, ,,,,
45,경산 교촌리 276번지 유적,경산 교촌리 276번지 단독주택 신축부지내 유적(국비),(재)삼한문화재연구원,2017-01-19,경북,경산시, ,,,,
46,松菊里 ?,부여 송국리유적 제18차 발굴조사,한국전통문화대학교 고고학연구소,2017-01-19,충남,부여군, ,,,,
47,대구 진천동 572-7번지 유적,대구 진천동 572-7번지 건물신축부지내 유적 국비지원 발굴조사,(재)삼한문화재연구원,2017-01-19,대구,달서구, ,,,,
48,창원 봉곡리 생산유적,창원 동읍~봉강간 도로건설구간 내 유적,(재)성림문화재연구원,2017-01-19,경남,창원시, ,,,,
49,松菊里 XI,"부여 송국리유적 제19, 20차 발굴조사",한국전통문화대학교 고고학연구소,2017-01-19,충남,부여군, ,,,,
50,영천 사천리 조선시대 생활유적,영천 화남?북지역 상수도 시설공사부지 내 유적,(재)성림문화재연구원,2017-01-19,경북,영천시, ,,,,
51,보령~청양(제2공구) 도로건설공사 구간 내 청양 신정리 유적,보령-청양(제2공구) 도로건설공사 부지 내 유적 발굴(정밀)조사,(재)호서문화유산연구원,2017-01-19,충남,청양군, ,,,,
52,2014년 소규모 발굴조사 보고서,부여 관북리 119-5번지 건물신축부지내 유적 - 변경허가(1차),(재)금강문화유산연구원,2017-01-20,충남,부여군, ,,,,
53,2014년 소규모 발굴조사 보고서,부여 쌍북리 154-8번지 근린생활시설 신축부지내 유적,(재)금강문화유산연구원,2017-01-20,충남,부여군, ,,,,
54,계룡 입암리 반촌말유적,계룡 제1농공단지 조성사업부지 내,(재)금강문화유산연구원,2017-01-20,충남,계룡시, ,,,,
55,순천 정혜사 건물지 시굴조사 보고서,순천 정혜사,(재)대한문화재연구원,2017-01-20,전남,순천시, ,,,,
56,경산 교촌리 313번지 유적,경산 자인면 교촌리 313번지 일원 다세대주택 신축부지 유적,(재)동국문화재연구원,2017-01-20,경북,경산시, ,,,,
57,서이천산업단지 조성부지 내 유적,서이천산업단지 조성부지 내 유적,(재)진흥문화재연구원,2017-01-20,경기,이천시, ,,,,
58,제천 수산면소재지 종합정비사업 부지 내 유적,제천 수산면소재지 종합정비사업 부지 내 유적,(재)호서문화유산연구원,2017-01-24,충북,제천시, ,,,,
59,洪城 石宅里 참새골 遺蹟,홍성 석택리 환호유적 주변 긴급발굴조사,(재)동방문화재연구원,2017-01-24,충남,홍성군, ,,,,
60,대구 칠성동 2가 302-138번지 유적,대구 칠성동2가 302-138 경북아파트 주택재건축정비사업,(재)경상문화재연구원,2017-01-24,대구,북구, ,,,,
61,영천 별빛중학교 신설예정지 내 영천 고경면 해선리유적,영천 해선리 240-3 영천별빛중학교 신설예정지 유적,경북문화재단 문화재연구원,2017-01-25,경북,영천시, ,,,,
62,아산 운용리유적,아산 둔포 운용리 337-10번지 일원 근린생활시설 부지 내 유적,(재)가경고고학연구소,2017-01-25,충남,아산시, ,,,,
63,巨濟 沙等城Ⅱ,거제 사등성,(재)동서문물연구원,2017-01-25,경남,거제시, ,,,,
64,統營 牛島貝塚,통영 우도 자연휴양센터 신축부지내 유적,(재)동서문물연구원,2017-01-25,경남,통영시, ,,,,
65,서울 묵1동 유적,서울 중랑 묵1동 주택재건축 정비사업부지 내 유적,(재)가경고고학연구소,2017-01-25,서울,중랑구, ,,,,
66,충남 홍성 장곡면 월계리 산154-1 및 2번지 전 최치원 묘?용못 절골사지 발굴(시굴)조사,홍성 장곡면 월계리 전 최치원 묘·용못 절골사지 발굴조사,(재)가경고고학연구소,2017-01-25,충남,홍성군, ,,,,
67,의령 동동리 유적,의령 동동지구 택지개발사업구간 내(2구역) 유적,(재)우리문화재연구원,2017-01-26,경남,의령군, ,,,,
68,경주 문산2일반산업단지 조성부지 내 유적,경주 석계리 674번지 일원 등 경주 문산2일반산업단지 조성부지내 유적,(재)해동문화재연구원,2017-01-26,경북,경주시, ,,,,
69,함안 남문외고분군 11호분,함안 남문외 고분군(11호분),(재)경남연구원 역사문화센터,2017-01-26,경남,함안군,경상남도 함안군 가야읍 가야리 858-2 ,817,2014년10월23일~2015년01월29일,기타,삼국
70,한화 대전사업장 국방·군사시설 신축공사부지 내 대전 외삼동 유적,한화 대전사업장 국방·군사시설 신축공사부지 내 유적,(재)금강문화유산연구원,2017-01-26,대전,유성구, ,,,,
71,함평 자풍리 신풍유적,함평 엄다-자풍간 지방도 확장구간 내 유적,(재)동서종합문화재연구원,2017-01-26,전남,함평군, ,,,,
72,월남사지Ⅱ,강진 월남사지 삼층석탑 정비사업부지내 유적,(재)민족문화유산연구원,2017-01-31,전남,강진군, ,,,,
73,2014년도 소규모 발굴조사 보고서 I~XXI,부여 가탑리(413-9) 주택 신축부지내 유적,(재)충청문화재연구원,2017-01-31,충남,부여군, ,,,,
74,광주 용두동 거상유적,광주 용두동 아파트 신축부지내 유적,(재)호남문화재연구원,2017-02-01,광주,북구, ,,,,
75,대구 월암동 430번지 유적,대구 월배지구 근생 제3구역 도시개발사업 부지내 유적,(재)동국문화재연구원,2017-02-02,대구,달서구, ,,,,
76,의령 동동리 유적(1구역),의령 동동지구 택지개발사업구간 내(1구역) 유적,(재)한국고고환경연구소,2017-02-02,경남,의령군, ,,,,
77,서울 낙원동 132-2번지 유적,서울 종로 돈화문로11길 33 신축부지 내 유적,(재)한울문화재연구원,2017-02-02,서울,종로구, ,,,,
78,강진 전라병영성 성내부 유적 Ⅲ,강진 전라병영성 정비사업부지 내 유적,(재)한울문화재연구원,2017-02-03,전남,강진군, ,,,,
79,청주 문화동 50-2번지 유적,청주 문화동 50-2번지 일원 공동주택신축공사 문화유적,(재)충청북도문화재연구원,2017-02-03,충북,청주시, ,,,,
80,여수 석보 -3차발굴조사(1지구)-,여수 석보(1 지구),(재)마한문화연구원,2017-02-03,전남,여수시, ,,,,
81,해남 윤선도유적,해남 윤선도 정비사업부지 내 유적,(재)마한문화연구원,2017-02-03,전남,해남군, ,,,,
82,고성 덕호리 유적,고성 군호마을 이주단지 조성부지 내 유적,(재)동서종합문화재연구원,2017-02-03,경남,고성군, ,,,,
83,보은 불목리 유적,보은 동부 일반산업단지 조성부지 내 유적,(재)충청북도문화재연구원,2017-02-06,충북,보은군, ,,,,
84,서울 청진구역 광화문역 개선사업부지 유적,서울 청진구역 도시환경정비사업 광화문역개선사업부지 내 유적,(재)한울문화재연구원,2017-02-06,서울,종로구, ,,,,
85,담양 객사리 유적,담양 객사리 석당간 정비사업부지 내 유적,(재)호남문화재연구원,2017-02-06,전남,담양군, ,,,,
86,2014년도 소규모 발굴조사 보고서 ⅩⅥ -경북 4-,경주시 인왕동 328번지 단독주택 신축부지 내 유적 국비지원 발굴조사,(재)신라문화유산연구원,2017-02-06,경북,경주시, ,,,,
87,용인 남사 완장리 유적,용인 완장리 산108-3 자원순환 관련시설부지 내 유적,(재)서경문화재연구원,2017-02-06,경기,용인시, ,,,,
88,사적 제523호 여수 석보 -3차 발굴조사(2지구)-,여수 석보(2 지구),(재)대한문화재연구원,2017-02-06,전남,여수시, ,,,,
89,영주 읍내리고분군1내 고분 긴급발굴조사 및 주변 고분군 분포조사 榮州 邑內里古墳郡1,영주 읍내리고분군1내 고분 긴급발굴조사 및 주변 고분군 분포조사,(재)세종문화재연구원,2017-02-06,경북,영주시, ,,,,
90,청주 송절동 83-1번지 유적,청주시 흥덕구 송절동 83-1번지 일원 소매점 건립부지 내 문화재 발(시)굴조사,(재)충청북도문화재연구원,2017-02-07,충북,청주시, ,,,,
91,서울 중구 북창동 18-9번지 유적,서울 중구 남대문로1길 42 상업시설 신축부지 내 유적,(재)한울문화재연구원,2017-02-07,서울,중구, ,,,,
92,2014년도 소규모 발굴조사 보고서 Ⅰ~ⅩⅩⅠ,제주시 삼양1동(654-5) 창고신축부지내 유적,(재)제주문화유산연구원,2017-02-08,제주,, ,,,,
93,2014년도 소규모 발굴조사 보고서 Ⅰ~ⅩⅩⅠ,제주 용담2동(2621-22번지)  신축부지내 유적,(재)제주문화유산연구원,2017-02-08,제주,, ,,,,
94,2014년도 소규모 발굴조사 보고서 Ⅰ~ⅩⅩⅠ,제주 용담2동 2704-12번지 건물신축부지내 유적,(재)제주문화유산연구원,2017-02-08,제주,, ,,,,
95,2014년도 소규모 발굴조사 보고서 Ⅰ~ⅩⅩⅠ,서귀포시 안덕면 화순리 758-5번지 단독주택신축부지내 유적,(재)제주문화유산연구원,2017-02-08,제주,, ,,,,
96,제주 관덕로 11길 차없는 거리 조성사업부지내 유적 문화재 발굴조사 보고서-제주 일도동 유적-,제주 관덕로 11길 차 없는 거리 조성사업부지내 유적,(재)제주문화유산연구원,2017-02-08,제주,제주시, ,,,,
97,2014년도 소규모 발굴조사 보고서 ⅩⅨ,제주 용담동(2715-13번지) 주택신축부지내 유적,(재)제주고고학연구소,2017-02-09,제주,, ,,,,
98,2014년도 소규모 발굴조사 보고서 ⅩⅨ,제주 용담2동(694-3번지) 주택 신축부지내 유적,(재)제주고고학연구소,2017-02-09,제주,제주시, ,,,,
99,2014년도 소규모 발굴조사 보고서ⅩⅩⅠ,서귀포시 화순리(677-1번지) 양식장 조성부지내 유적,(재)제주고고학연구소,2017-02-09,제주,, ,,,,
100,창원 신방리 저습유적Ⅱ,창원 신방지구 도시개발사업 부지내 유적,(재)동아세아문화재연구원,2017-02-09,경남,창원시, ,,,,
101,2014년도 소규모 발굴조사 보고서 ⅩⅩ,서귀포 화순리 527ㆍ528번지 아열대 과수 하우스시설 신축부지 내,(재)제주고고학연구소,2017-02-09,제주,, ,,,,
102,2014년도 소규모 발굴조사 보고서 ⅩⅨ,제주시 용담2동 2710-8번지 단독주택신축사업 부지내 유적,(재)제주고고학연구소,2017-02-09,제주,제주시, ,,,,
103,2014년도 소규모 발굴조사 보고서ⅩⅩⅠ,서귀포시 안덕면 화순리 538번지 비닐하우스 설치부지내 유적,(재)제주고고학연구소,2017-02-09,제주,서귀포시, ,,,,
104,2014년도 소규모 발굴조사 보고서 ⅩⅧ,제주 삼양2동 2181-33번지 제1종근생 및 주택 신축부지내 문화재 발굴조사,(재)제주고고학연구소,2017-02-09,제주,제주시, ,,,,
105,2014년도 소규모 발굴조사 보고서 ⅩⅨ,제주시 용담 2동 726-1번지 근린생활시설[사무소] 신축부지 내 유적,(재)제주고고학연구소,2017-02-09,제주,제주시, ,,,,
106,2014년도 소규모 발굴조사 보고서 ⅩⅧ,제주시 외도 1동 154번지 창고신축부지내 유적,(재)제주고고학연구소,2017-02-09,제주,제주시, ,,,,
107,상권활성화구역 주차장 조성부지 내 청주 서문동 99-2번지 유적,청주 서문동 상권활성화구역 주차장 조성부지 내 유적,(재)호서문화유산연구원,2017-02-09,충북,청주시, ,,,,
108,양산 소석리 543번지 유적,양산 소석리 공장신축 부지내 유적,(재)한반도문화재연구원,2017-02-10,경남,양산시, ,,,,
109,濟州牧 官衙 瀛洲館 客舍址,제주목 관아 영주관 객사터(2차) 문화재 발굴조사,(재)제주고고학연구소,2017-02-10,제주,제주시, ,,,,
110,"고속국도 제600호선 부산외곽건설공사 6,7공구내 김해감내유적 등 3개소내 金海 大甘里 山24番地 遺蹟","고속국도 제600호선 부산외곽건설공사 6,7공구 내 김해감내유적 등 3개소",(재)세종문화재연구원,2017-02-13,경남,김해시, ,,,,
111,광주 곤지암리 156번지 유적,성남~여주 복선전철 제6공구(곤지암) 3~5지점 내 유적,(재)우리문화재연구원,2017-02-13,경기,광주시, ,,,,
112,김포 운양동 1005-4번지 유적,김포 운양동 1005-4번지 근린생활시설 신축부지 내 유적,(재)한강문화재연구원,2017-02-13,경기,김포시, ,,,,
113,제주 고산리유적Ⅰ(2구역),제주 고산리유적 시굴조사,(재)제주고고학연구소,2017-02-14,제주,, ,,,,
114,제주 고산리유적Ⅰ(2구역),2014 제주 고산리유적 발굴조사(2차),(재)제주고고학연구소,2017-02-14,제주,제주시, ,,,,
115,제주시 용담2동 2718-1번지 외 1필지 다세대주택 신축부지내 문화재 발굴조사 보고서-제주 용담동 유적-,제주시 용담2동 2718-1번지 외 1필지 다세대주택 신축부지내 유적,(재)제주문화유산연구원,2017-02-15,제주,제주시, ,,,,
116,제주 강정동 대궐터 유적 문화재 발굴조사 보고서-제주 강정동 대궐터 유적-(4263번지),2014 제주 강정동 대궐터유적,(재)제주문화유산연구원,2017-02-15,제주,서귀포시, ,,,,
117,제주시 용담2동 2718-1번지 다세대주택 신축부지내 유적 발굴조사 보고서-제주 용담동 유적-,제주시 용담2동 2718-1번지 다세대주택 신축부지 내 유적,(재)제주문화유산연구원,2017-02-15,제주,제주시, ,,,,
118,남양주 지금동 유적,남양주 지금보금자리주택 1구역 유적,(재)기호문화재연구원,2017-02-17,경기,남양주시, ,,,,
119,나주읍성 북문지,나주읍성 북문지,(재)영해문화유산연구원,2017-02-21,전남,나주시, ,,,,
120,나주읍성 북문지,나주읍성 정비사업부지 내 유적,(재)영해문화유산연구원,2017-02-21,전남,나주시, ,,,,
121,함안 오곡리 유적,함안 오곡리 주택신축부지 내 유적,(재)두류문화연구원,2017-02-22,경남,함안군, ,,,,
122,울주 고연리 산306-2번지 유적,울주 고연리 산306-2번지일원 공장신축부지 내 유적,(재)한국문화재연구원,2017-02-23,울산,울주군, ,,,,
123,장안사Ⅰ,기장 장안사 정비사업부지 내 유적,부산광역시립박물관,2017-02-24,부산,기장군,부산광역시 기장군 하장안길 11-4 (장안읍) ,698,2014년08월05일~2015년02월27일,사지,통일신라/발해
124,강진 석문리 용혈암지 발굴조사 보고서,강진 석문리 용혈암,(재)민족문화유산연구원,2017-02-28,전남,강진군, ,,,,
125,창원 용호동 유적,창원 용호 5구역 주택 재건축 사업부지 내 유적,(재)두류문화연구원,2017-02-28,경남,창원시, ,,,,
126,영동 상용리 320번지 건물 신축부지 내 문화재 발굴조사보고서,영동 상용리 320번지 건물신축부지 내 문화유적 발굴조사,(재)충청북도문화재연구원,2017-03-02,충북,영동군, ,,,,
127,경북도청이전신도시 건설사업(6구역) 부지 내 安東佳谷里遺蹟,경북도청이전신도시 건설사업(6구역) 부지 내 유적,(재)삼한문화재연구원,2017-03-03,경북,안동시, ,,,,
128,담양 중옥리 서옥고분군 - 4호분ㆍ12호분 -,담양 서옥 고분군,(재)대한문화재연구원,2017-03-03,전남,담양군, ,,,,
129,2014년도 소규모 발굴조사 보고서ⅩⅤ -경북3-,경주 성동동 188-2번지 근린생활시설 및 단독주택 신축부지내 문화유적 국비지원 발굴(시굴)조사,한국문화재재단,2017-03-06,경북,경주시, ,,,,
130,2014년도 소규모 발굴조사 보고서ⅩⅤ -경북3-,경주 성동동 199-3번지 근린생활시설 및 단독주택 신축부지 내 문화유적 국비지원 발굴조사,한국문화재재단,2017-03-06,경북,경주시, ,,,,
131,2014년도 소규모 발굴조사 보고서 ⅩⅥ-경북4-,"경주 인왕동 120, 121번지 단독주택 신축부지내 문화유적 국비지원 발굴조사",한국문화재재단,2017-03-06,경북,경주시, ,,,,
132,2014년도 소규모 발굴조사 보고서ⅩⅤ -경북3-,경주 성건동 339-31번지 근린생활시설 신축부지내 문화유적 국비지원 발굴조사,한국문화재재단,2017-03-06,경북,경주시, ,,,,
133,2014년도 소규모 발굴조사 보고서ⅩⅦ -경북5-,상주 무양동 179-2번지 근린생활시설 신축부지내 문화유적 국비지원 발굴조사,한국문화재재단,2017-03-06,경북,상주시, ,,,,
134,2014년도 소규모 발굴조사 보고서ⅩⅤ -경북3-,경주 용강동 965-1번지 근린생활시설 신축부지내 문화유적 국비지원 시굴조사,한국문화재재단,2017-03-06,경북,경주시, ,,,,
135,2014년도 소규모 발굴조사 보고서ⅩⅦ -경북5-,상주 성동동 149-7번지 농업용 창고 신축부지내 문화유적 국비지원 발굴조사,한국문화재재단,2017-03-06,경북,상주시, ,,,,
136,2014년도 소규모 발굴조사 보고서ⅩⅦ -경북5-,경주 황오동 44-3번지 단독주택 신축부지내 문화유적 국비지원 발굴조사,한국문화재재단,2017-03-06,경북,경주시, ,,,,
137,2014년도 소규모 발굴조사 보고서ⅩⅤ -경북3-,경주 인왕동 117번지 단독주택 신축부지내 문화유적 국비지원 발굴조사,한국문화재재단,2017-03-06,경북,경주시, ,,,,
138,2014년도 소규모 발굴조사 보고서ⅩⅤ -경북3-,경주 인왕동 117-2번지 단독주택 신축부지내 문화유적 국비지원 발굴조사,한국문화재재단,2017-03-06,경북,경주시, ,,,,
139,2014년도 소규모 발굴조사 보고서 XVIII,서귀포 성읍리 514번지 단독주택 신축부지내 문화유적 국비지원 발굴조사,한국문화재재단,2017-03-06,제주,서귀포시, ,,,,
140,2014년도 소규모 발굴조사 보고서ⅩⅤ -경북3-,경주 시동 593-6번지 단독주택 신축부지내 문화유적 국비지원 발굴조사,한국문화재재단,2017-03-06,경북,경주시, ,,,,
141,2014년도 소규모 발굴조사 보고서ⅩⅤ -경북3-,경주 시동 593-9번지 단독주택 신축부지내 문화유적 국비지원 발굴조사,한국문화재재단,2017-03-06,경북,경주시, ,,,,
142,2014년도 소규모 발굴조사 보고서 XVIII,제주 곽지리 2030번지 단독주택 신축부지내 문화유적 국비지원 발굴조사,한국문화재재단,2017-03-06,제주,제주시, ,,,,
143,2014년도 소규모 발굴조사 보고서ⅩⅣ-경북2-,경주 구황동 844-8번지 단독주택 신축부지 내 문화유적 국비지원 발굴조사,한국문화재재단,2017-03-07,경북,경주시, ,,,,
144,창원 북부순환도로 개설부지 내 유적,창원 북부순환도로 개설구간 내 유적,(재)해동문화재연구원,2017-03-07,경남,창원시, ,,,,
145,2014년도 소규모 발굴조사 보고서ⅩⅥ -경북4-,경주 황오동 12-15번지 근린생활시설 신축부지내 문화유적 국비지원 발굴조사,한국문화재재단,2017-03-07,경북,경주시, ,,,,
146,2014년도 소규모 발굴조사 보고서ⅩⅣ-경북2-,경주 망성리 487번지 단독주택 신축부지 내 문화유적 국비지원 발굴조사,한국문화재재단,2017-03-07,경북,경주시, ,,,,
147,2014년도 소규모 발굴조사 보고서ⅩⅣ-경북2-,"경주 배반동 264-1, 264-5번지 단독주택 신축부지내 문화유적 국비지원 발굴조사",한국문화재재단,2017-03-07,경북,경주시, ,,,,
148,화순 쌍산 항일의병 유적,화순 쌍산 항일의병 유적,(재)전라남도문화재단 전남문화재연구소,2017-03-07,전남,화순군, ,,,,
149,「울산 영축사지 발굴조사보고서Ⅰ」,울산 율리 영축사지 유적,울산박물관,2017-03-08,울산,울주군, ,,,,
150,2014년도 소규모 발굴조사 보고서ⅩⅡ-경남3-,양산 용당동 산80-40번지 외 1필지 단독주택 신축부지 내 유적(국비),한국문화재재단,2017-03-08,경남,양산시, ,,,,
151,2014년도 소규모 발굴조사 보고서ⅩⅡ-경남3-,양산 용당동 산80-5번지 외 2필지 단독주택 신축부지 내 유적 국비 발굴(시굴)조사,한국문화재재단,2017-03-08,경남,양산시, ,,,,
152,2014년도 소규모 발굴조사 보고서Ⅹ-울산ㆍ경남1-,울주 위양리 415번지 단독주택 신축부지내 유적(국비),한국문화재재단,2017-03-08,울산,울주군, ,,,,
153,2014년도 소규모 발굴조사 보고서Ⅹ-울산ㆍ경남1-,김해 주촌면 내삼리 756번지 소규모공장 신축부지 내 유적,한국문화재재단,2017-03-08,경남,김해시, ,,,,
154,「울산 영축사지 발굴조사보고서Ⅰ」,울산 율리 영축사지 유적(2차),울산박물관,2017-03-08,울산,울주군, ,,,,
155,2014년도 소규모 발굴조사 보고서ⅩⅡ-경남3-,창원 봉산리(317-13) 근린시설신축부지 내 유적,한국문화재재단,2017-03-08,경남,창원시, ,,,,
156,2014년도 소규모 발굴조사 보고서Ⅹ-울산ㆍ경남1-,거제 가배리 주택 신축부지내 유적,한국문화재재단,2017-03-08,경남,거제시, ,,,,
157,2014년도 소규모 발굴조사 보고서Ⅹ-울산ㆍ경남1-,울산 서동 329-7번지 단독주택 신축부지내 유적(국비),한국문화재재단,2017-03-08,울산,중구, ,,,,
