연번,보고서명,유적사업명,발간기관,제출일,조사시도,조사시군구,주소,조사면적,조사기간,유적성격,시대
710,제주시 외도1동 125-2번지 창고신축부지내 문화재 정밀발굴조사-제주 외도동 유적-,제주 외도1동 125-2번지 창고부지 내 유적,(재)제주문화유산연구원,2017-12-15,제주,제주시,제주특별자치도 제주시 우평로 281 (외도일동) ,2900,2015년11월30일~2016년01월07일,,철기
711,서울 종로구 와룡동 131번지 내 유적,서울 종로구 와룡동 131번지 내 문화재 발굴(시굴)조사,(재)백두문화재연구원,2017-12-15,서울,종로구,서울특별시 종로구 돈화문로 95 (와룡동) ,275,2015년11월11일~2015년12월15일,,근대/일제강점기
712,김해 주촌 선천지구 택지개발 사업부지 내 김해 선지리유적I,김해 주촌 선천지구 택지개발 사업부지 내  유적,(재)경남문화재연구원,2017-12-18,경남,김해시,경상남도 김해시 주촌면 선지리 68-3 ,4322,2015년01월23일~2015년12월21일,고분,"청동기,고려"
713,洪城 古岩里 역재 遺蹟,홍성 역재방죽지구 도시개발사업 문화유적 발굴(정밀발굴)조사,(재)동방문화재연구원,2017-12-18,충남,홍성군,충청남도 홍성군 홍성읍 고암리 670-1 일원,1780,2015년05월28일~2016년06월18일,,백제
714,의성 후평리 1호분,의성 후평리 고분군 내 봉토분 1호 발굴조사 - 변경허가(1차) - 변경허가(2차),경북문화재단 문화재연구원,2017-12-18,경북,의성군,경상북도 의성군 단촌면 후평리 75 ,621,2015년09월02일~2015년12월21일,고분,삼국
715,부여 보건소 건강재활센터 별동 증축공사부지 내 유적 발굴(시굴)조사 보고서,부여 보건소 건강재활센터 별동 증축공사부지 내 매장문화재,(재)한얼문화유산연구원,2017-12-19,충남,부여군,"충청남도 부여군 반월로 5 (부여읍, 사비119안전센터) ",800,2015년12월07일~2015년12월22일,,백제
716,수원 창성사지Ⅰ,수원 창성사지 문화재 조사,한신대학교박물관,2017-12-20,경기,수원시,경기도 수원시 장안구 상광교동 산 41 ,1200,2014년10월20일~2016년09월30일,사지,고려
717,경주 서부동 69-1번지 유적,경주 서부동 69-1번지 종교시설신축부지 내 유적,(재)서라벌문화재연구원,2017-12-20,경북,경주시,경상북도 경주시 봉황로 85 (서부동) ,1579,2015년11월02일~2015년12월14일,,통일신라/발해
718,거제 소동리 유적,거제 소동리 타운하우스 신축부지 내 유적,(재)두류문화연구원,2017-12-20,경남,거제시,경상남도 거제시 일운면 소동리 산 46-7 ,1390,2015년12월08일~2015년12월23일,고분,"삼국,삼국,조선"
719,수원 창성사지Ⅰ,수원 창성사지(수원 창성사지 2차 학술발굴조사),한신대학교박물관,2017-12-20,경기,수원시,경기도 수원시 장안구 상광교동 산 41 ,1200,2014년10월22일~2016년09월30일,사지,고려
720,고령 중화리 고분군,고령 중화리(산13-1번지) 진입로 개설부지 내 유적,(재)다온문화재연구원,2017-12-20,경북,고령군,경상북도 고령군 대가야읍 중화리 산 13-1 ,400,2017년03월08일~2017년03월30일,고분,삼국
